id	name	aliases	charge	formula
10fthf	10-Formyltetrahydrofolate	BIGG:10fthf;KEGG:C00234;	-2	C20H21N7O7
12dgr120	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)	BIGG:12dgr120;KEGG:C00641;	0	C27H52O5
12dgr140	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)	BIGG:12dgr140;KEGG:C00641;	0	C31H60O5
12dgr141	1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)	BIGG:12dgr141;KEGG:C00641;	0	C31H56O5
12dgr160	1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)	BIGG:12dgr160;KEGG:C00641;	0	C35H68O5
12dgr161	1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)	BIGG:12dgr161;KEGG:C00641;	0	C35H64O5
12dgr180	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)	BIGG:12dgr180;KEGG:C00641;	0	C39H76O5
12dgr181	1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)	BIGG:12dgr181;KEGG:C00641;	0	C39H72O5
12ppd-R	(R)-Propane-1,2-diol	CAS:4254-14-2;BIGG:12ppd-R;KEGG:C02912;	0	C3H8O2
12ppd-S	(S)-Propane-1,2-diol	CAS:4254-14-3;BIGG:12ppd-S;KEGG:C02917;	0	C3H8O2
13dpg	3-Phospho-D-glyceroyl phosphate	BIGG:13dpg;KEGG:C00236;	-4	C3H4O10P2
14glucan	1,4-alpha-D-glucan	BIGG:14glucan;	0	C36H62O31
15dap	1,5-Diaminopentane	CAS:462-94-2;BIGG:15dap;KEGG:C01672;	2	C5H16N2
1agpe120	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	BIGG:1agpe120;KEGG:C04438;	0	C17H36NO7P1
1agpe140	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)	BIGG:1agpe140;KEGG:C04438;	0	C19H40NO7P1
1agpe141	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)	BIGG:1agpe141;KEGG:C04438;	0	C19H38NO7P1
1agpe160	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	BIGG:1agpe160;KEGG:C04438;	0	C21H44NO7P1
1agpe161	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)	BIGG:1agpe161;KEGG:C04438;	0	C21H42NO7P1
1agpe180	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	BIGG:1agpe180;KEGG:C04438;	0	C23H48NO7P1
1agpe181	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)	BIGG:1agpe181;KEGG:C04438;	0	C23H46NO7P1
1agpg120	1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)	BIGG:1agpg120;	-1	C18H36O9P1
1agpg140	1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)	BIGG:1agpg140;	-1	C20H40O9P1
1agpg141	1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)	BIGG:1agpg141;	-1	C20H38O9P1
1agpg160	1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)	BIGG:1agpg160;	-1	C22H44O9P1
1agpg161	1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)	BIGG:1agpg161;	-1	C22H42O9P1
1agpg180	1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)	BIGG:1agpg180;	-1	C24H48O9P1
1agpg181	1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)	BIGG:1agpg181;	-1	C24H46O9P1
1ddecg3p	1-dodecanoyl-sn-glycerol 3-phosphate	BIGG:1ddecg3p;KEGG:C00681;	-2	C15H29O7P1
1hdec9eg3p	1-hexadec-9-enoyl-sn-glycerol 3-phosphate	BIGG:1hdec9eg3p;	-2	C19H35O7P1
1hdecg3p	1-hexadecanoyl-sn-glycerol 3-phosphate	BIGG:1hdecg3p;KEGG:C00681;	-2	C19H37O7P1
1odec11eg3p	1-octadec-11-enoyl-sn-glycerol 3-phosphate	BIGG:1odec11eg3p;	-2	C21H39O7P1
1odecg3p	1-octadecanoyl-sn-glycerol 3-phosphate	BIGG:1odecg3p;KEGG:C00681;	-2	C21H41O7P1
1pyr5c	1-Pyrroline-5-carboxylate	BIGG:1pyr5c;KEGG:C03912;	-1	C5H6NO2
1tdec7eg3p	1-tetradec-7-enoyl-sn-glycerol 3-phosphate	BIGG:1tdec7eg3p;KEGG:C00681;	-2	C17H31O7P1
1tdecg3p	1-tetradecanoyl-sn-glycerol 3-phosphate	BIGG:1tdecg3p;KEGG:C00681;	-2	C17H33O7P1
23camp	2',3'-Cyclic AMP	BIGG:23camp;KEGG:C02353;	-1	C10H11N5O6P
23ccmp	2',3'-Cyclic CMP	BIGG:23ccmp;KEGG:C02354;	-1	C9H11N3O7P
23cgmp	2',3'-Cyclic GMP	BIGG:23cgmp;KEGG:C06194;	-1	C10H11N5O7P
23cump	2',3'-Cyclic UMP	BIGG:23cump;KEGG:C02355;	-1	C9H10N2O8P
23dappa	2,3-diaminopropionate	BIGG:23dappa;KEGG:C06393;	1	C3H9N2O2
23ddhb	2,3-Dihydro-2,3-dihydroxybenzoate	BIGG:23ddhb;KEGG:C04171;	-1	C7H7O4
23dhb	2,3-Dihydroxybenzoate	CAS:303-38-8;BIGG:23dhb;KEGG:C00196;	-1	C7H5O4
23dhba	(2,3-Dihydroxybenzoyl)adenylate	BIGG:23dhba;KEGG:C04030;	-1	C17H17N5O10P
23dhbzs	2,3-dihydroxybenzoylserine	BIGG:23dhbzs;	-1	C10H10NO6
23dhdp	2,3-Dihydrodipicolinate	BIGG:23dhdp;KEGG:C03340;	-2	C7H5NO4
23dhmb	(R)-2,3-Dihydroxy-3-methylbutanoate	BIGG:23dhmb;KEGG:C04272;	-1	C5H9O4
23dhmp	(R)-2,3-Dihydroxy-3-methylpentanoate	BIGG:23dhmp;KEGG:C06007;	-1	C6H11O4
23doguln	2,3-Dioxo-L-gulonate	BIGG:23doguln;KEGG:C05409;	-1	C6H7O7
25aics	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	BIGG:25aics;KEGG:C04823;	-4	C13H15N4O12P
25dkglcn	2,5-diketo-D-gluconate	BIGG:25dkglcn;KEGG:C02780;	-1	C6H7O7
25drapp	2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate	BIGG:25drapp;	-2	C9H14N5O8P
26dap-LL	LL-2,6-Diaminoheptanedioate	CAS:583-93-7;BIGG:26dap-LL;KEGG:C00666;	0	C7H14N2O4
26dap-M	meso-2,6-Diaminoheptanedioate	BIGG:26dap-M;KEGG:C00680;	0	C7H14N2O4
2agpe120	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	BIGG:2agpe120;KEGG:C05973;	0	C17H36NO7P1
2agpe140	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)	BIGG:2agpe140;KEGG:C05973;	0	C19H40NO7P1
2agpe141	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)	BIGG:2agpe141;KEGG:C05973;	0	C19H38NO7P1
2agpe160	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	BIGG:2agpe160;KEGG:C05973;	0	C21H44NO7P1
2agpe161	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)	BIGG:2agpe161;KEGG:C05973;	0	C21H42NO7P1
2agpe180	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	BIGG:2agpe180;KEGG:C05973;	0	C23H48NO7P1
2agpe181	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)	BIGG:2agpe181;KEGG:C05973;	0	C23H46NO7P1
2agpg120	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)	BIGG:2agpg120;	-1	C18H36O9P1
2agpg140	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)	BIGG:2agpg140;	-1	C20H40O9P1
2agpg141	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)	BIGG:2agpg141;	-1	C20H38O9P1
2agpg160	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)	BIGG:2agpg160;	-1	C22H44O9P1
2agpg161	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)	BIGG:2agpg161;	-1	C22H42O9P1
2agpg180	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)	BIGG:2agpg180;	-1	C24H48O9P1
2agpg181	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)	BIGG:2agpg181;	-1	C24H46O9P1
2ahbut	(S)-2-Aceto-2-hydroxybutanoate	BIGG:2ahbut;KEGG:C06006;	-1	C6H9O4
