id	name	direction	gpr	pathway	enzyme	equation	reference
12DGR120tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)	>		Transport, Inner Membrane		12dgr120[p] --> 12dgr120[c]	
12DGR140tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)	>		Transport, Inner Membrane		12dgr140[p] --> 12dgr140[c]	
12DGR141tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)	>		Transport, Inner Membrane		12dgr141[p] --> 12dgr141[c]	
12DGR160tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)	>		Transport, Inner Membrane		12dgr160[p] --> 12dgr160[c]	
12DGR161tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)	>		Transport, Inner Membrane		12dgr161[p] --> 12dgr161[c]	
12DGR180tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)	>		Transport, Inner Membrane		12dgr180[p] --> 12dgr180[c]	
12DGR181tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)	>		Transport, Inner Membrane		12dgr181[p] --> 12dgr181[c]	
12PPDRtex	(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		12ppd-R[e] <==> 12ppd-R[p]	
12PPDRtpp	(R)-Propane-1,2-diol facilitated transport (periplasm)	=		Transport, Inner Membrane		12ppd-R[p] <==> 12ppd-R[c]	2644239
12PPDStex	(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		12ppd-S[e] <==> 12ppd-S[p]	
12PPDStpp	(S)-Propane-1,2-diol facilitated transport (periplasm)	=		Transport, Inner Membrane		12ppd-S[p] <==> 12ppd-S[c]	2644239
14GLUCANabcpp	1,4-alpha-D-glucan transport via ABC system (periplasm)	>	( b4034  and  b4033  and  b4032  and  b4035 )	Transport, Inner Membrane		14glucan[p] + atp[c] + h2o[c] --> 14glucan[c] + adp[c] + h[c] + pi[c]	
14GLUCANtexi	1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible	>	b4036	Transport, Outer Membrane		14glucan[e] --> 14glucan[p]	
23CAMPtex	23cAMP transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		23camp[e] <==> 23camp[p]	
23CCMPtex	23cCMP transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		23ccmp[e] <==> 23ccmp[p]	
23CGMPtex	23cGMP transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		23cgmp[e] <==> 23cgmp[p]	
23CUMPtex	23cUMP transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		23cump[e] <==> 23cump[p]	
23DAPPAt2pp	2,3-diaminopropionate transport in via proton symport	>		Transport, Inner Membrane		23dappa[p] + h[p] --> 23dappa[c] + h[c]	
23DAPPAtex	2,3-diaminopropionate transport via diffusion	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		23dappa[e] <==> 23dappa[p]	
23PDE2pp	2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)	>	b4213	Nucleotide Salvage Pathway	3.1.4.16	[p] : 23cump + h2o --> 3ump + h	3005231
