media	mediaws	growth	geneko	addtlCpd
C-acetate	phenotypeDemo	1	none	none
C-adenosine	phenotypeDemo	1	none	none
C-alpha-ketoglutarate	phenotypeDemo	1	none	none
C-Butyrate	phenotypeDemo	1	none	none
C-Cytidine	phenotypeDemo	1	none	none
C-D-Lactate	phenotypeDemo	1	none	none
C-gly-asp-L	phenotypeDemo	1	none	none
C-gly-glu-L	phenotypeDemo	1	none	none
C-Guanosine	phenotypeDemo	1	none	none
C-Inosine	phenotypeDemo	1	none	none
C-L-glutamate	phenotypeDemo	1	none	none
C-L-glutamine	phenotypeDemo	1	none	none
C-L-isoleucine	phenotypeDemo	1	none	none
C-L-lactate	phenotypeDemo	1	none	none
C-L-leucine	phenotypeDemo	1	none	none
C-L-serine	phenotypeDemo	1	none	none
C-Lactate	phenotypeDemo	1	none	none
C-malate	phenotypeDemo	1	none	none
C-N-acetyl-D-glucosamine	phenotypeDemo	1	none	none
C-propionate	phenotypeDemo	1	none	none
C-pyruvate	phenotypeDemo	1	none	none
C-Uridine	phenotypeDemo	1	none	none
CN-Adenosine	phenotypeDemo	1	none	none
CN-Aspartate	phenotypeDemo	1	none	none
CN-Cytidine	phenotypeDemo	1	none	none
CN-L-alanine	phenotypeDemo	1	none	none
CN-L-Arginine	phenotypeDemo	1	none	none
CN-L-Asparagine	phenotypeDemo	1	none	none
CN-L-glutamate	phenotypeDemo	1	none	none
CN-L-glutamine	phenotypeDemo	1	none	none
CN-L-Glycine	phenotypeDemo	1	none	none
CN-L-Histidine	phenotypeDemo	1	none	none
CN-L-isoleucine	phenotypeDemo	1	none	none
CN-L-leucine	phenotypeDemo	1	none	none
CN-L-methionine	phenotypeDemo	1	none	none
CN-L-phenylalanine	phenotypeDemo	1	none	none
CN-L-proline	phenotypeDemo	1	none	none
CN-L-serine	phenotypeDemo	1	none	none
CN-L-threonine	phenotypeDemo	1	none	none
CN-N-acetyl-D-glucosamine	phenotypeDemo	1	none	none
CN-Putrescine	phenotypeDemo	1	none	none
P-Cytidine-5-monophosphate	phenotypeDemo	1	none	none
P-Glycerol-3-phosphate	phenotypeDemo	1	none	none
P-O-phosphoryl-ethanolamine	phenotypeDemo	1	none	none
P-Tripolyphosphate	phenotypeDemo	1	none	none
S-Cysteine	phenotypeDemo	1	none	none
S-Glutathione	phenotypeDemo	1	none	none
S-Hypotaurine	phenotypeDemo	1	none	none
S-Sulfate	phenotypeDemo	1	none	none
S-Sulfite	phenotypeDemo	1	none	none
S-Thiosulfate	phenotypeDemo	1	none	none
S-Thiourea	phenotypeDemo	1	none	none
C-2-Deoxy-D-Ribose	phenotypeDemo	0	none	none
C-4-Hydroxybenzoate	phenotypeDemo	0	none	none
C-Adenine	phenotypeDemo	0	none	none
C-Beta-Lactose	phenotypeDemo	0	none	none
C-Carnitine	phenotypeDemo	0	none	none
C-Citrate	phenotypeDemo	0	none	none
C-Cytosine	phenotypeDemo	0	none	none
C-D-Alanine	phenotypeDemo	0	none	none
C-D-Arabinose	phenotypeDemo	0	none	none
C-D-Fructose	phenotypeDemo	0	none	none
C-D-Galactose	phenotypeDemo	0	none	none
C-D-Galacturonate	phenotypeDemo	0	none	none
C-D-Gluconate	phenotypeDemo	0	none	none
C-D-Glucosamine	phenotypeDemo	0	none	none
C-D-Glucose	phenotypeDemo	0	none	none
C-D-Glucose-6-Phosphate	phenotypeDemo	0	none	none
C-D-Glucuronate	phenotypeDemo	0	none	none
C-D-Mannitol	phenotypeDemo	0	none	none
C-D-Mannose	phenotypeDemo	0	none	none
C-D-Ribose	phenotypeDemo	0	none	none
C-D-Serine	phenotypeDemo	0	none	none
C-D-Sorbitol	phenotypeDemo	0	none	none
C-D-Tagatose	phenotypeDemo	0	none	none
C-D-Xylose	phenotypeDemo	0	none	none
C-Ethanol	phenotypeDemo	0	none	none
C-Formate	phenotypeDemo	0	none	none
C-Glycerol	phenotypeDemo	0	none	none
C-Glycine	phenotypeDemo	0	none	none
C-Glycolate	phenotypeDemo	0	none	none
C-Itaconate	phenotypeDemo	0	none	none
C-L-Arabinose	phenotypeDemo	0	none	none
C-L-Arginine	phenotypeDemo	0	none	none
C-L-Asparagine	phenotypeDemo	0	none	none
C-L-Aspartate	phenotypeDemo	0	none	none
C-L-Citrulline	phenotypeDemo	0	none	none
C-L-Cysteine	phenotypeDemo	0	none	none
C-L-Fucose	phenotypeDemo	0	none	none
C-L-Histidine	phenotypeDemo	0	none	none
C-L-Lysine	phenotypeDemo	0	none	none
C-L-Methionine	phenotypeDemo	0	none	none
C-L-Phenylalanine	phenotypeDemo	0	none	none
C-L-Proline	phenotypeDemo	0	none	none
C-L-Rhamnose	phenotypeDemo	0	none	none
C-L-Sorbose	phenotypeDemo	0	none	none
C-L-Tryptophan	phenotypeDemo	0	none	none
C-L-Valine	phenotypeDemo	0	none	none
C-octanoate	phenotypeDemo	0	none	none
C-oxalate	phenotypeDemo	0	none	none
C-Putrescine	phenotypeDemo	0	none	none
C-Sucrose	phenotypeDemo	0	none	none
C-Thymine	phenotypeDemo	0	none	none
C-Xylitol	phenotypeDemo	0	none	none
