geneko	mediaws	media	addtlCpd	growth
fig|208964.1.peg.1	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.10	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.100	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1000	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1001	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1002	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1003	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1004	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1005	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1006	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1007	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1008	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1009	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.101	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1010	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1011	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1012	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1013	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1014	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1015	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1016	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1017	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1018	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1019	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.102	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1020	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1021	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1022	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1023	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1024	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1025	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1026	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1027	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1028	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1029	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.103	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1030	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1031	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1032	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1033	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1034	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1035	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1036	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1037	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1038	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1039	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.104	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1040	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1041	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1042	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1043	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1044	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1045	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1046	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1047	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1048	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1049	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.105	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1050	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1051	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1052	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1053	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1054	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1055	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1056	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1057	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1058	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1059	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.106	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1060	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1061	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1062	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1063	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1065	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1066	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1067	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1068	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1069	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.107	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1070	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1071	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1072	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1073	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1074	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1075	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1076	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1077	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1078	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1079	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.108	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1080	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1081	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1082	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1083	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1084	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1085	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1086	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1087	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1088	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1089	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.109	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1090	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1091	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1092	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1093	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1094	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1095	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1096	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1097	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1098	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1099	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.11	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.110	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1100	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1101	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1102	KBaseMedia	ArgonneLBMedia		1
